,Unnamed: 0,"('Karte', None)","('Gemarkungs- schlüssel', None)","Name","('Fläche (ha)', None)","('Anzahl der Flurstücke', None)","('Eingemein- dungsjahr', None)","('Bild', None)","('Stadt-/Ortsteile', None)","('Zugehörigkeit', None)"
38,38,"('', '/wiki/Datei:Gemarkung_Krieschendorf_in_Dresden.svg')","('3041', None)","('Krieschendorf', '/wiki/Krieschendorf')","('89', None)","('165', None)","('1999', None)","('', '/wiki/Datei:Krieschendorf.jpg')","('Krieschendorf', '/wiki/Krieschendorf')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
39,39,"('', '/wiki/Datei:Gemarkung_Langebr%C3%BCck_in_Dresden.svg')","('3036', None)","('Langebrück', '/wiki/Langebr%C3%BCck')","('696', None)","('2418', None)","('1999', None)","('', '/wiki/Datei:Langebrueck_Unterdorf_Dorfteich.jpg')","('Langebrück', '/wiki/Langebr%C3%BCck')","('Langebrück (Ortschaft)', '/wiki/Langebr%C3%BCck')"
40,40,"('', '/wiki/Datei:Gemarkung_Laubegast_in_Dresden.svg')","('0231', None)","('Laubegast', '/wiki/Laubegast')","('191', None)","('1281', None)","('1921', None)","('', '/wiki/Datei:Laubegast_20060623.jpg')","('Laubegast', '/wiki/Laubegast')","('Leuben (Stadtbezirk)', '/wiki/Leuben_(Stadtbezirk)')"
41,41,"('', '/wiki/Datei:Gemarkung_Lausa_in_Dresden.svg')","('3085', None)","('Lausa', '/wiki/Lausa_(Dresden)')","('586', None)","('2383', None)","('1999', None)","('', '/wiki/Datei:Lausa_Zentrum.JPG')","('Friedersdorf, Lausa', '/wiki/Friedersdorf_(Dresden)')","('Weixdorf (Ortschaft), Klotzsche (Stadtbezirk)', '/wiki/Weixdorf_(Ortschaft)')"
42,42,"('', '/wiki/Datei:Gemarkung_Leuben_in_Dresden.svg')","('0232', None)","('Leuben', '/wiki/Leuben')","('245', None)","('939', None)","('1921', None)","('', '/wiki/Datei:Dresden_Staatsoperette_2008.jpg')","('Leuben', '/wiki/Leuben')","('Leuben (Stadtbezirk)', '/wiki/Leuben_(Stadtbezirk)')"
43,43,"('', '/wiki/Datei:Gemarkung_Leubnitz-Neuostra_in_Dresden.svg')","('0233', None)","('Leubnitz-Neuostra', '/wiki/Leubnitz-Neuostra')","('290', None)","('2008', None)","('1921', None)","('', '/wiki/Datei:Kirche_Leubnitz.jpg')","('Leubnitz-Neuostra', '/wiki/Leubnitz-Neuostra')","('Prohlis (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
44,44,"('', '/wiki/Datei:Gemarkung_Leuteritz_in_Dresden.svg')","('3010', None)","('Leuteritz', '/wiki/Alt-Leuteritz')","('108', None)","('177', None)","('1999', None)","('', '/wiki/Datei:Dresden_Altleuteritz.jpg')","('Alt-Leuteritz', '/wiki/Alt-Leuteritz')","('Mobschatz (Ortschaft)', '/wiki/Mobschatz_(Ortschaft)')"
45,45,"('', '/wiki/Datei:Gemarkung_Leutewitz_in_Dresden.svg')","('0234', None)","('Leutewitz', '/wiki/Leutewitz_(Dresden)')","('63', None)","('393', None)","('1921', None)","('', '/wiki/Datei:Fotothek_df_rp-c_0470064_Dresden-Leutewitz._Leutewitzer_Windm%C3%BChle,_Turmholl%C3%A4nder,_Baujahr_1839,_Steinbach.jpg')","('Leutewitz', '/wiki/Leutewitz_(Dresden)')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
46,46,"('', '/wiki/Datei:Gemarkung_Lockwitz_in_Dresden.svg')","('0235', None)","('Lockwitz', '/wiki/Lockwitz')","('388', None)","('1670', None)","('1930', None)","('', '/wiki/Datei:Lockwitztalbr%C3%BCcke.jpg')","('Lockwitz', '/wiki/Lockwitz')","('Prohlis (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
47,47,"('', '/wiki/Datei:Gemarkung_L%C3%B6btau_in_Dresden.svg')","('0236', None)","('Löbtau', '/wiki/L%C3%B6btau')","('200', None)","('1450', None)","('1903', None)","('', '/wiki/Datei:L%C3%B6btau_Stra%C3%9Fenzug.JPG')","('Löbtau', '/wiki/L%C3%B6btau')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
