,Name,Lat,Long,Gemeinde,Zu_Hause_Distanz,Zu_Hause_Dauer,Robotron_Distanz,Robotron_Dauer,Schule_Distanz,Schule_Dauer,Kletterarena_Distanz,Kletterarena_Dauer,Großeltern_Distanz,Großeltern_Dauer,Dresden Zentrum_Distanz,Dresden Zentrum_Dauer
164,Kleinluga,50.9827084,13.8303387,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",17.15,24,12.21,12,3.08,6,14.53,19,15.81,31,15.69,21
165,Hosterwitz,51.0145851,13.8630803,-,9.68,20,17.39,24,6.21,13,13.96,29,9.56,18,11.59,25
166,Hellerau,51.1126515,13.7595615,-,8.04,16,29.83,29,33.86,31,10.42,23,15.3,31,9.1,21
167,Klotzsche,51.1186284,13.7781539,-,9.07,19,31.39,31,35.42,33,11.45,27,38.0,33,10.13,24
168,Trachenberge,51.0959794,13.7284263,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",6.72,16,11.58,28,31.12,31,7.8,20,13.98,31,6.51,17
169,Mobschatz,51.0791557,13.6437255,-,11.76,23,12.37,24,27.14,28,9.33,18,49.27,41,9.47,19
170,Niederwartha,51.090646,13.6064712,-,13.76,30,14.37,31,29.15,33,11.32,24,51.27,46,11.46,25
171,Oberwartha,51.0816091,13.6047327,"Cossebaude,Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",14.96,28,19.95,26,23.98,28,12.53,23,52.99,46,12.67,24
172,Berggießhübel,50.8737844,13.9480113,"Bad Gottleuba-Berggießhübel,Sächsische Schweiz-Osterzgebirge,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",33.55,35,28.6,23,22.34,21,30.93,30,27.51,36,32.08,32
173,Kaditz,51.0843554,13.6776905,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",8.17,20,22.84,23,26.86,25,8.12,18,43.02,35,7.76,18
174,Übigau,51.0713098,13.6931327,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",7.87,17,8.97,20,28.0,27,5.93,14,43.16,34,5.58,13
175,Mickten,51.0781249,13.7070254,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",5.85,13,10.55,23,28.07,27,6.73,16,14.88,32,5.44,13
176,Cunnersdorf,51.1838298,13.8081959,"Ottendorf-Okrilla,Bautzen,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",20.39,28,38.75,34,42.77,36,23.84,30,29.58,28,23.49,29
177,Hufen,51.170515,13.7909441,"Medingen,Ottendorf-Okrilla,Bautzen,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",21.65,30,40.0,36,44.03,38,25.1,32,30.41,29,24.75,31
178,Obergohlis,51.0874338,13.6484784,-,11.52,25,12.14,26,26.92,29,9.09,20,49.04,41,9.23,21
179,Pieschen,51.0831018,13.7225624,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",5.97,14,10.63,24,29.21,30,6.86,16,14.68,31,5.57,14
180,Innere Neustadt,51.0600782,13.7446283,-,2.03,5,9.3,20,10.27,22,4.75,12,11.62,25,3.02,8
181,Äußere Neustadt,51.0671858,13.7528113,-,2.69,7,9.97,22,10.94,23,5.14,14,11.41,24,3.69,10
182,Leipziger Vorstadt,51.0742716,13.7456304,-,3.55,10,9.45,22,11.79,26,5.67,14,11.61,25,4.39,12
183,Strand,50.9397755,14.073065,-,43.0,52,38.05,41,31.79,38,40.38,47,30.32,49,41.53,49
184,Großzschachwitz,51.0015845,13.8391166,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",10.64,21,14.35,16,3.44,5,11.66,22,12.76,25,9.99,19
185,Loschwitz,51.0555235,13.8154546,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",4.18,9,11.54,24,9.69,19,8.65,19,6.33,12,6.66,15
186,Krieschendorf,51.0234303,13.8856378,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",12.24,28,19.41,32,8.22,21,15.98,37,5.4,12,13.6,32
187,Hellerberge,51.0978519,13.7471755,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1
188,Radeberger Vorstadt,51.0689995,13.7747478,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",2.1,5,10.89,23,11.07,22,6.61,16,9.2,19,4.61,11
189,Weißer Hirsch,51.0641586,13.8226878,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",5.35,12,13.11,28,11.26,23,10.21,23,5.58,11,8.01,18
190,Oberpoyritz,51.0028442,13.8954496,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",12.77,25,26.51,23,8.75,18,28.83,30,11.68,20,14.13,30
191,Niederpoyritz,51.0299881,13.8456531,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",8.01,17,19.6,29,8.41,17,12.48,27,7.79,15,10.49,23
192,Wachwitz,51.0382067,13.8314672,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",6.26,13,13.63,28,9.69,20,10.73,23,8.85,17,8.74,18
193,Bühlau,51.0625884,13.8511298,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",7.04,15,14.41,30,12.56,25,11.51,25,3.75,7,9.53,20
194,Albertstadt,51.0793519,13.7543265,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",5.1,12,11.26,27,14.08,29,7.48,19,12.36,27,6.16,17
195,Zschertnitz,51.022299,13.7452947,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",5.36,12,4.28,8,6.28,13,3.58,10,14.92,30,4.37,10
196,Omsewitz,51.0542551,13.6589564,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",9.81,21,8.4,18,21.48,25,6.34,13,19.14,40,7.51,16
197,Leutewitz,51.0564997,13.6713108,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",9.04,19,7.63,17,22.31,25,5.57,11,18.38,38,6.75,15
198,Wölfnitz,51.0403342,13.6777302,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",8.47,19,5.96,14,14.46,26,5.32,11,17.8,39,5.89,15
199,Seevorstadt,51.0438327,13.7338551,-,3.53,9,5.62,13,8.98,18,1.84,4,13.87,29,2.06,6
200,Gostritz,51.0100849,13.7494315,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",7.21,17,4.11,9,6.54,13,5.3,14,15.11,33,6.22,15
201,Kleinpestitz,51.0173648,13.7351584,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",6.58,14,3.34,7,7.3,14,3.84,10,16.14,32,5.0,12
202,Coschütz,51.0173107,13.7014868,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",7.75,17,1.36,2,10.17,15,3.31,8,18.24,37,6.28,14
203,Kauscha,50.9929409,13.7779251,-,10.79,20,8.23,11,2.96,5,10.56,17,16.43,31,9.32,18
204,Neugruna,51.0440325,13.811145,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",4.83,10,10.88,22,7.62,15,8.9,18,8.34,18,6.91,14
205,Torna,51.007275,13.7780781,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",8.53,17,10.54,15,2.95,6,7.87,16,14.17,29,7.06,15
206,Niedergohlis,51.0936452,13.6425258,-,12.17,27,12.79,28,27.57,31,9.74,22,49.69,44,9.88,23
207,Reick,51.0133206,13.7939453,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",7.65,15,10.95,15,3.36,6,7.76,15,13.29,26,7.0,13
208,Wilsdruffer Vorstadt,51.0511677,13.7255823,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",3.72,10,5.92,13,9.6,19,2.14,5,13.87,30,1.59,5
209,Roßthal,51.0330959,13.6755363,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",8.44,21,5.52,12,14.03,24,4.02,10,17.77,40,5.89,16
210,Mockritz,51.0148803,13.7417152,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",6.42,14,3.5,6,6.92,12,4.33,11,15.49,31,5.42,12
211,Räcknitz,51.0251896,13.7333866,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",5.23,12,3.81,8,7.67,15,2.61,7,15.83,32,3.76,9
212,Pirnaische Vorstadt,51.0489849,13.7495667,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",2.11,5,6.68,15,8.64,17,3.02,7,12.03,25,1.03,3
213,Leubnitz-Neuostra,51.0117209,13.7656363,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",6.96,16,5.78,12,4.39,9,6.78,15,13.88,29,5.97,14
214,Gittersee,51.0111467,13.6921953,-,8.77,19,1.26,2,11.44,16,4.33,10,20.14,39,7.3,16
215,Proschwitz,51.1787884,13.4761673,-,33.35,47,39.49,51,43.51,53,38.13,50,60.21,57,33.39,49
216,Zaschendorf,51.1527893,13.5132859,-,28.56,45,38.35,47,42.38,49,24.19,45,55.41,55,24.33,46
217,Korbitz,51.1529494,13.4484123,-,35.15,49,36.73,43,40.76,45,27.42,46,69.67,62,34.74,47
218,Vorbrücke,51.165305,13.4817815,-,27.45,48,35.76,43,39.79,45,25.02,42,60.7,58,25.16,43
219,Zscheila,51.1717378,13.4887724,-,33.67,48,36.67,45,40.7,47,25.93,45,60.53,58,26.07,46
220,Siebeneichen,51.1490326,13.4809604,-,31.2,42,32.78,36,36.8,38,28.85,39,65.72,55,30.79,40
221,Bohnitzsch,51.177126,13.4971196,-,31.46,43,37.84,47,41.86,49,36.23,46,58.31,52,31.5,45
222,Niederfähre,51.1675965,13.4770721,-,27.15,47,35.46,42,39.49,44,24.71,42,61.08,59,24.85,43
223,Obermeisa,51.1649474,13.4515074,-,28.71,49,36.29,44,40.31,46,26.28,43,63.16,62,26.42,44
224,Niederspaar,51.1522369,13.4935381,-,30.94,49,37.77,47,41.8,49,23.65,45,57.79,58,23.79,46
