,Name,Lat,Long,Zu_Hause_Distanz,Zu_Hause_Dauer,Robotron_Distanz,Robotron_Dauer,Schule_Distanz,Schule_Dauer,Kletterarena_Distanz,Kletterarena_Dauer,Großeltern_Distanz,Großeltern_Dauer,Dresden Zentrum_Distanz,Dresden Zentrum_Dauer
215,Proschwitz,51.1787884,13.4761673,31.93,110,32.09,110,38.84,135,31.33,107,44.13,157,29.73,102
216,Zaschendorf,51.1527893,13.5132859,26.74,94,26.9,93,33.64,118,26.14,90,39.57,140,24.54,86
217,Korbitz,51.1529494,13.4484123,31.18,107,31.34,106,38.09,131,30.59,103,43.96,154,28.99,99
218,Vorbrücke,51.165305,13.4817815,29.43,101,29.59,100,36.34,126,28.84,97,41.9,148,27.24,93
219,Zscheila,51.1717378,13.4887724,30.65,105,30.81,104,37.56,130,30.05,102,43.27,153,28.46,97
220,Siebeneichen,51.1490326,13.4809604,27.94,97,28.09,97,34.84,122,27.34,94,40.71,144,25.74,89
221,Bohnitzsch,51.177126,13.4971196,31.8,109,31.96,108,38.71,134,31.2,105,44.42,157,29.61,101
222,Niederfähre,51.1675965,13.4770721,29.27,102,29.43,101,36.18,127,28.67,99,42.1,149,27.08,94
223,Obermeisa,51.1649474,13.4515074,31.04,106,31.2,106,37.95,131,30.44,103,43.82,153,28.85,98
224,Niederspaar,51.1522369,13.4935381,28.13,99,28.29,98,35.03,123,27.53,95,40.96,145,25.93,91
225,Klostergasse,51.1697782,13.4661901,29.91,103,30.07,102,36.82,127,29.31,99,42.68,149,27.71,95
226,Lercha,51.1475048,13.4681041,29.02,101,29.18,100,35.92,125,28.42,97,41.79,147,26.82,93
227,Questenberg,51.1572193,13.4588122,30.36,104,30.52,103,37.26,129,29.76,101,43.13,151,28.16,96
228,Altstadt,51.164854,13.4707876,29.39,102,29.55,101,36.3,127,28.79,98,42.16,149,27.2,94
229,Cölln,51.1603114,13.4877715,28.71,100,28.87,100,35.62,125,28.11,97,41.55,147,26.52,92
230,Triebischtal,51.1486356,13.4591312,30.79,106,30.95,105,37.7,131,30.19,103,43.56,153,28.59,98
231,Oberspaar,51.1492912,13.49921,27.56,96,27.72,96,34.47,121,26.97,93,40.4,143,25.37,89
232,Klosterhäuser,51.1740793,13.4557629,30.99,106,31.15,105,37.9,131,30.39,103,43.76,153,28.79,98
233,Bad Gottleuba,50.851423,13.9445243,36.3,122,37.43,127,28.59,96,41.17,139,33.24,114,38.89,131
234,Feldschlößchen,51.1395588,13.9154813,18.47,66,26.41,94,23.45,85,21.84,82,12.81,45,19.79,75
235,Radeberg,51.1151413,13.9175257,17.96,63,24.56,86,20.34,73,22.84,80,9.71,34,20.56,72
236,Prossen,50.931162,14.1147956,35.25,124,36.38,129,27.53,97,40.12,140,32.91,112,37.84,133
237,Lauterbach,51.0683362,14.1128062,37.37,128,42.37,149,32.81,115,42.41,145,23.2,78,40.13,137
238,Bühlau,51.087305,14.1048714,38.02,131,43.03,152,33.46,118,43.06,148,22.38,76,40.78,140
239,Goldbach,51.1189075,14.1424585,33.69,120,40.29,142,38.62,136,38.57,137,25.1,90,36.29,129
240,Birkigt,51.0112482,13.67759,9.92,33,2.86,9,11.37,41,5.43,18,19.52,66,7.77,27
241,Niederhäslich,50.9888388,13.6651092,16.17,62,4.25,17,12.77,45,9.69,38,28.18,105,12.16,46
242,Hainsberg,50.9835604,13.6326496,17.12,64,6.67,23,16.59,60,10.65,41,29.13,108,13.12,49
243,Deuben,50.9961024,13.6456544,14.9,55,4.88,17,14.37,52,8.43,32,26.91,99,10.89,40
244,Zauckerode,51.0174579,13.6396931,12.99,45,5.92,19,14.43,51,8.11,30,25.0,89,8.98,30
245,Schweinsdorf,50.9897462,13.6521772,16.14,61,5.69,20,13.83,49,9.67,37,28.15,104,12.14,45
246,Burgk,51.0024415,13.669471,11.6,39,3.06,11,12.35,42,8.01,31,21.19,71,10.48,39
247,Potschappel,51.0131482,13.662626,12.37,47,3.71,12,12.23,44,5.9,23,24.38,90,8.37,31
248,Somsdorf,50.9763786,13.6041243,19.68,73,9.22,32,19.15,69,13.2,49,31.68,117,15.67,58
249,Coßmannsdorf,50.9763653,13.6249545,18.15,68,7.7,28,17.62,64,11.68,45,30.16,112,14.15,53
250,Döhlen,51.0070347,13.6475354,14.34,53,5.3,17,13.81,49,7.87,30,26.35,97,10.34,38
251,Kleinzschachwitz,51.009631,13.854418,10.12,34,12.41,44,4.36,14,14.99,51,9.37,36,12.71,43
252,Kohlsdorf,51.031278,13.6341871,13.24,46,7.71,25,15.3,55,7.78,26,25.25,90,9.23,31
253,Sachsenbergsiedlung,50.9809657,14.1285121,41.31,144,43.72,153,33.92,119,46.19,160,32.55,110,43.91,152
254,Braunsdorf,51.0168066,13.5731578,17.28,60,10.66,35,19.17,67,11.82,39,29.29,103,13.27,44
255,Oberhermsdorf,51.019936,13.5906341,15.79,54,9.16,30,17.68,62,10.33,34,27.8,98,11.78,39
256,Dippoldiswalde,50.8950479,13.6633335,23.25,78,16.88,57,20.34,71,20.02,68,34.72,121,21.54,73
257,Waltersdorf,50.9496785,14.1071541,33.33,116,35.73,126,25.93,91,38.2,133,29.87,102,35.92,125
258,Fischergasse,51.1705519,13.4686898,29.82,102,29.98,102,36.73,127,29.22,99,42.6,149,27.63,94
259,Klostergut,51.1721838,13.4585254,30.73,105,30.89,105,37.64,130,30.14,102,43.51,152,28.54,97
260,Neudörfchen,51.152826,13.480133,27.58,94,27.74,93,34.48,119,26.98,91,40.35,141,25.38,86
261,Saalhausen,51.0112972,13.6161191,14.75,51,7.68,25,16.2,57,9.87,36,26.76,95,10.75,36
262,Rähnitz,51.1189656,13.7371476,10.44,35,15.47,56,18.51,65,12.2,45,16.88,58,10.15,38
263,Gommern,50.9801966,13.8443572,13.43,46,13.37,46,4.52,15,12.62,42,13.14,49,12.59,42
264,Mügeln,50.980018,13.8716349,15.02,51,14.81,51,5.96,20,14.06,47,12.3,45,17.61,60
265,Kleinsedlitz,50.9589817,13.8819169,17.64,59,17.61,60,8.77,29,22.52,76,14.92,53,20.24,68
266,Zehista,50.9372257,13.9245568,21.6,74,22.73,79,13.89,48,26.48,91,18.61,66,24.2,83
267,Mülbitz,51.280625,13.5298034,40.05,138,46.66,158,48.12,168,45.9,155,43.61,152,39.76,141
268,Zschieschen,51.2831179,13.5212774,41.14,142,45.85,155,52.6,180,45.09,152,44.7,156,43.5,148
269,Kötitz,51.1189743,13.57257,20.28,70,20.43,69,27.18,95,19.68,67,33.11,117,18.08,62
270,Neucoswig,51.1315615,13.5974731,20.75,72,20.91,71,27.66,96,20.15,68,32.76,116,18.56,64
271,Niedermeisa,51.1664801,13.4684959,29.73,102,29.89,101,36.64,127,29.13,99,42.5,149,27.54,94
272,Stenz,51.2657001,13.889241,30.59,106,36.92,127,38.67,135,32.35,115,30.45,110,30.31,108
273,Rottwerndorf,50.9246168,13.9620763,24.19,81,25.32,86,16.48,55,29.07,98,21.14,73,26.79,90
274,Löbsal,51.2275475,13.4340096,39.67,136,39.83,135,46.58,161,39.08,132,51.77,182,37.48,128
275,Triebischvorstadt,51.1613041,13.4734451,29.3,100,29.46,100,36.21,125,28.7,97,42.08,147,27.11,92
276,Görnische Vorstadt,51.1592519,13.4695369,29.35,101,29.51,100,36.26,126,28.75,98,42.13,148,27.16,93
277,Rauenthal,51.1585624,13.4614528,30.02,103,30.18,102,36.93,128,29.43,99,42.8,150,27.83,95
278,Kynastsiedlung,51.1612372,13.4516088,31.5,108,31.66,107,38.41,132,30.91,104,44.28,155,29.31,100
279,Lotzdorf,51.1278999,13.9072405,18.66,69,26.06,92,21.03,79,21.5,80,10.4,39,19.45,73
280,Stadtrandsiedlung,51.1282379,13.9541186,20.6,71,27.2,93,22.98,81,25.48,88,12.35,41,23.2,80
281,Ploschwitzer Höhe,50.9502493,13.8561418,19.4,65,17.98,61,9.13,30,17.23,57,16.68,59,22.0,74
282,Plossen,51.1561389,13.4753163,28.63,99,28.79,98,35.54,124,28.04,96,41.41,146,26.44,91
283,Neundorf,50.9168934,13.9798631,26.16,88,27.29,93,18.45,61,31.04,105,23.11,79,28.75,97
284,Vollung,51.1752598,14.0112097,28.06,97,34.66,120,30.43,108,32.93,114,19.8,68,30.65,106
285,Meißner Seite,51.1805494,14.0040247,27.51,94,36.53,123,32.09,113,31.96,111,21.46,74,29.91,104
286,Heidenau-Süd,50.97242,13.8786283,15.48,52,15.83,54,6.99,23,20.35,69,12.76,46,18.07,61
287,Dobra,51.013535,14.0277826,26.6,93,31.6,115,22.04,80,31.64,111,13.45,46,29.36,103
288,Augustusberg,50.8432304,13.9552134,37.93,129,39.06,134,30.21,103,42.8,146,34.87,121,40.52,138
289,Dölzschen,51.0263636,13.689257,9.6,34,3.45,14,10.65,39,3.13,10,21.61,77,5.6,18
290,Röderhäuser,51.1647262,14.0624279,30.08,103,36.68,125,32.46,113,34.95,120,21.83,73,32.67,112
